episode_index,episode_return,terminated_reason,closure_mode,closed_loop,fitness_reward,average_gtc,std_gtc,route_node_count,route_path_node_ids
227,-179.1551513671875,closed_loop,forced,True,-178.15515689409727,125.40568823245553,,3,"[2444, 2443, 2444]"
228,-12400.754891498807,closed_loop,forced,True,-12399.754646059599,5197.788940530604,,3,"[12, 270, 12]"
229,-11215.846689800264,closed_loop,forced,True,-11214.846775402675,4696.113221058935,,3,"[3156, 3149, 3156]"
230,-23717.35949108529,closed_loop,forced,True,-23715.358990588647,11204.020900882237,,3,"[2657, 2660, 2657]"
231,-6361.963895166468,closed_loop,forced,True,-6360.900099231308,4855.72016793132,,5,"[1068, 1070, 1081, 1070, 1068]"
232,-24349.87890625,closed_loop,forced,True,-24348.878390381127,12213.669107614835,,3,"[676, 673, 676]"
233,-184.3592529296875,closed_loop,forced,True,-183.35925224588777,183.35925224588777,,3,"[1289, 1290, 1289]"
234,-181.33787536621094,closed_loop,forced,True,-180.3378796116947,180.3378796116947,,3,"[3711, 3708, 3711]"
235,-4274.9863317746685,closed_loop,forced,True,-4273.986571675631,2184.2153600710376,,3,"[2570, 2573, 2570]"
236,-3034.241955493545,closed_loop,forced,True,-3033.2418538937045,1195.0045923098935,,3,"[1828, 1834, 1828]"
237,-151.83010642007048,closed_loop,forced,True,-148.3762853381247,121.9501679905362,,5,"[3145, 2889, 2887, 2889, 3145]"
